"category","variable"
"Reason for leaving previous residence","prev_res_factors_displaced"
"Travel","dest_jurisdiction"
"Travel","driver"
"Travel","google_duration"
"Travel","mode_1"
"Travel","mode_acc"
"Travel","mode_freq_1"
"Travel","mode_freq_2"
"Travel","mode_freq_3"
"Travel","mode_freq_4"
"Travel","mode_freq_5"
"Travel","mode_simple"
"Travel","origin_jurisdiction"
"Travel","origin_purpose"
"Travel","speed_mph"
"Travel","travelers_total"
"Travel","trip_path_distance"
"Worker","benefits_1"
"Worker","benefits_2"
"Worker","benefits_3"
"Worker","commute_auto_distance"
"Worker","commute_auto_time"
"Worker","commute_dur"
"Worker","commute_freq"
"Worker","commute_mode"
"Worker","employment"
"Worker","hours_work"
"Worker","jobs_count"
"Worker","prev_work_jurisdiction"
"Worker","telecommute_freq"
"Worker","work_county"
"Worker","work_jurisdiction"
